should_ban	comment_text
1	"HAHAHA THAT'LL TEACH YOU TO WP:AGF 94.8.193.32  
LOL I IS CAUSE MOAR DISRUPTION IN DA ABSENCE OF TALK PAGE ACCESS REVOCATION 94.8.193.32"
0	Nah, I'm just gonna go to the beach or pier. It's free. Rather find my cetaceans from shore and earn it, rather than blundering into them on a boat.
1	FUCKING SUCK YOU LIBERAL BASTARD WHO THINKS MICHAEL MOORE IS TRUTHFUL YOU ASSHOLE FUCK BITCH TITS CUNT SNATCH
1	"Twit 

Your just another petty fascist.
You clowns are feeble (certainly in mind)."
0	"You must be logged in to upload files. 

So In other words I have to sign up just to add 3 things to 1 entry.

To hell with that!!!!! This place can ROT for all I care!!!

75.8.35.177"
0	"""

 Errors in Listing 

There are a number of errors in this list.
The short 25 pounder is an Australian designed & built pack gun. It fired standard 25 pounder ammunition & was designed using the standard 25 pounder (which was being licenced built in Australia at the time) as a starting point but little else in common.
The M777 is actually a combined USA/UK origon. The weapon was designed in UK & all the titanium parts are made there, the barell is designed & made in USA & the finished weapon is assembled there (Britian does not at this point field this weapon)
Two different imperial sized guns are listed with the same metric dimensions which can't be correct (I believe the 8"""" gun is correct but not the 9.2"""" gun).
I don't believe any of the L5 pack howitzers are still in use. The army reserve stopped using them some time in the 1990's.
The F2 mortar is a UK/Canada design. Australia announced in 2012 it was looking at replacing the current F2 motar, therefore I would be very supprised if it only came into service in 2010 (it was designed in the 1960's).
101.171.170.142  """
0	Whether or not it's scientific, it bears at least partial mention and representation in its own article, being that it's not the same as fine tuning]]
1	"fuck off
seriously you tosser have you nothing better to do?"
0	"""
Keep honorary members. Collect is laboring under the misapprehension that a third party observer writing in a reliable source is somehow guilty of violating Wikipedia's guidelines for WP:PRIMARY sources. Of course we accept WP:SECONDARY sources which use primary materials, whatever they may be. The third party observer examines the primary material and passes on to the reader any information judged relevant. Below I have listed some reliable WP:SECONDARY sources.   
Domhoff writes """"Writers Bret Harte and Mark Twain were made honorary members.""""
Shoumatoff writes that """"Honorary member Richard Nixon, meanwhile, called it 'the most faggy goddamned thing you could ever imagine.'"""" Shoumatoff also lists Mark Twain as a member.
Parry, Albert. Garrets and Pretenders: A History of Bohemianism in America. New York: Covici, Friede, 1933. On page 219 Parry writes that Bret Harte and Mark Twain were made honorary members of the Bohemian Club.
""""Early Artists of the Bohemian Club: San Francisco as the Center of West Coast Art """", Resource Library Magazine. """"Mark Twain and Bret Harte were honorary members...""""
Ben Tarnoff writes in The Bohemians: Mark Twain and the San Francisco Writers Who Reinvented American Literature, page 185, that Ina Coolbrith was """"elected"""" to the position of honorary member.
LaRouchite Brian Lantz writes in Executive Intelligence Report November 1982, """"Bohemian Grove, Jack London, and the cultishness of California's politics"""", """"Mark Twain was made an honorary member in 1873; Theodore Roosevelt was made an honorary member in 1903.""""
Stephen J. Mexal writes in Reading for Liberalism: The Overland Monthly and the Writing of the Modern American West, page 249, that """"In recent years former secretary of state Henry Kissinger, former president George H. W. Bush, and former defense Donald Rumsfeld have all become members or honorary members."""""""
1	"""
With pleasure, cunt, and I'll leave you to finish yourself off    Imperatrix Mundi """
1	| decline=Nobody on Wikipedia wants your moronic edits! Take a hike!
1	"suxk my balls 

sssss"
0	"""

RfD nomination of User:-Zeus-/Contributions
I have nominated  for discussion. Your opinions on the matter are welcome; please participate in the discussion by adding your comments at the discussion page. Thank you.  and his otters • (Many otters • One hammer • HELP) """
1	BUT HEY I AM TAY AND I DO HAVE AIDS WTF YOU GUYS ARE FASCISTS
0	"""

 new thread at WP:AN that relates to you. 

I want to be clear that I'm not """"coming after you"""" but I have some serious concerns about the wisdom of the new policies with regard to arbitration enforcement.   """
0	"""Those who're in advantageous positions are the bigger numbered, more noisy crowd, basically two types: One types are those either brainwashed and/or chauvinistic fanatic Chinese; the other types American who (naturally) have so little knowledge about world outside of northern America but then would have hard time admitting that. Therefore, they would pretend as they know. While they pretend, their sources are largely what is most largely circulated messages - largely from the Chiense government or American (corporate/government) propaganda. For them, what someone said that if repeating lies thousand times it would become the truth, will make perfect sense. That """"truth"""", or what you guys are shouting here as """"the common"""" names and stuff, what is blocking not only your eyesights but as well your human consciousness.

One big difference between them though: Those Chinese here do know what they are doing because they have their agenda and they're intentional. But the Americans are just naive and are being used.

 
 

"""
1	"""
 Cut the bullshit You are doing personal favor here to people from Serbian Chapter. There is nothing in this article that deserves to be deleted as facts involved and references used prove exactly what was happening with Montenegrin language doing last 100 years. You are who you chose to be and your actions makes you very poor person. But that is not my choice but yours so there is nothing there I can regret. If section is written in bad English people before tried to help and they did fix grammatical and other errors. You did nothing just helped one hegemonic force to continue to bloat articles about Montenegro. One think you cant say is that this section is not based on valid sources. But I will use this example to show how you and other abused Foundation and your position to support many unjust causes. You are obviously not aware what this kind of yours behavior have repercussions. And one advice to editors you can use word """"bullshit"""" when you see one 76.114.213.50  """
0	"""

Whilst I don't agree with your reasoning, I am happy to add my """"reference"""" to Further Reading rather than References. It is not really self-promotion to add an worthy but out-of-print book as further reading for those interested in the subjects. Certainly less self promotional than some of the press references which are basically just PR releases given spurious credibility by being recycled in the mainstream press. Sadly, much of what passes for journalism today is just PR stuff, which begs the question of how seriously we should take a lot of references!   

Well I might dabble in such edits, if I had more time. To be honest, I don't give tuppence whether my books are mentioned or not. It is of no advantage whatsoever to me, commercial or egotistical. I merely thought I was helping but clearly have transgressed Wiki's arcane guidelines, often inconsistent from what I can see. And to be honest, I do believe that people may have used my book without true attribution, there are one or two things mentioned that are so obscure that it would be rather a coincidence if they hadn't been read first in my book. Hopefully I'll not be tempted to dabble in Marmite, of which I know a great deal!  

thank you for your comments and help. not meaning to be argumentative, but I do like to get things as straight as I can. One more thing
you may be able to help with. a early drafts of a couple of my articles were tagged as lacking references - but although I've since added some very good ones from university text books and other mainstream publications, the yellow sticker is still at the top of the page. How do I get rid of it?    """
1	Also, please not that you are an idiot. Thank you -DreamGuy
1	"IM GOING TO KILL YOU 

I JUST WANT YOU TO KNOW THAT"
0	Teahouse Talkback reminder
0	"""

Fascism
You obviously are quite well read and skilled on this topic, but two Wikipedia policies need to be applied.

1) """"This is a controversial topic that may be under dispute. Please read this page and discuss substantial changes here before making them."""" That is on top of the discussion page for a reason.

2) NPOV requires all majority and some minority views be covered in the entry in a proper balance. All the current editors have shown a willingness to discuss their different POVs and seek a consensus before making substantial edits. Please join us in this collaborative effort.  """
0	"Land Area 

The land area mentioned in this article seems like way too much even at the Ottoman Empires greatest extent.  Comapre the 19.9 million km2 stated in this article to modern day Russia which is only 17 million km2, or even the Roman Empire, which included most of the Ottoman territories, 5.9 million km2."
1	Thanks for blocking me. I called Tao an idiot and a dumb bastard because I truly belive he/she is one. You have these rules to prevent harassment. Fine. I was just doing it for fun, got it out of my system, I'll quit now. However, you should seriously consider a NDB&LP; rule, or No Dumb Bastards and Lazy People. Wikipedia is currently a laughing stock, a punchline to a joke. The reason is that it facilitates lazy people like Tao. If you read the entire entry, my intention is to improve the page. I provide sources, I provide a sound argument, I provide what's necessary to provide in circumstances like this in order to improve the page. What does Tao provide? Nothing. He clearly has not read the page, he clearly does not know the subject, and he clearly is uninterested in doing what needs to be done in circumstances like this: making valid claims supported with evidence. True, I don't take Wikipedia seriously, but I believe in its potential. I wouldn't do anything that I believe harms it in a substantial way. Tao, on the other hand, is an insidious virus who does little but undermine the value of Wikipedia. In a just world, he would be the one being blocked. This is not a genuine appeal against being blocked because I'm the one who asked for it. This is an appeal for you to actually read the conversation, read my swear-filled diatribe as me antagonizing someone who is genuinely very, very, very lazy in what he is doing (how long did it take to get me blocked after I even begged and taunted?)  please tell me, of the two of us who really should be blocked? Of the two of us, who is doing the most harm? Thank you.
0	What I understand so far, is that I should mind my language in wikiland, when making a criticism or complaint. Whatever my personal temper about it might be, it is not helpful to express that here, and I should address the relevant issue in a sober, businesslike manner, following protocols in these things.  That is fair enough, assuming that others do likewise, and I fully accept that. I made a mistake in how I expressed my complaint about the editing of
0	And what words do you think you have revelation from the highest?
0	"No, this is not needed 

In fact, there is another article titled restriction fragment.  There should not be seperate articles for the singular and plural forms of the subject. 151.188.17.247"
1	"""
That is absolutely false.
You posted a """"civility warning"""" in my talk page.
That was the only time that you posted there, ever, for this issue.
My reaction to that, was to come here to ask what happened.
We discussed it here, and when the discussion ended, without any result, I removed the civility warning from my talk page, because I use to archive / remove old conversations in my talk page.
Automatically, wen you saw I had removed the civility warning, you blocked me for a 24 hour period.
Your block was absolutely illegitimate, for various reasons:
The way you did it:
The reason you gave to block me was: """"Yes, I've seen the comment on your talk page. This was the combination of mine and his responses to your previous question."""". And few minutes later, you posted """"24 hour block issued"""".
All this information was posted in your own talk page, and talking to another user.
You did not communicate to me that you had blocked me. I did not see that you had blocked me until, few days later the block had expired, I came to your talk page, and saw that you had said that you had blocked me.
In addition, by not communicating me that I was blocked, you did not allow me to ask other admins to review my block.
The reasons why you did it:
It is not stated anywhere in this Wikipedia that an user cannot remove stuff from his talk page.
You neither told me not to remove that stuff.
I accepted and fulfilled your request of having a civil attitude. Ignoring what I had done before (which was not much), since the moment you told me that, I kept a civil attitude.
I also lost my time coming here to reply you, so there is no possible way to say that I ignored your request.
In all, your block was just full of irregularities. It was not a normal admin block, but rather a thoughtless decission that you took without following any kind of procedure. You just decided that I had to be blocked because you might think that removing the civility warning that you had posted in my talk page was some kind of lack of respect towards you. But it is frankly stupid to think that way, because of the reasons I've explained above.
And since you realized that you had comitted an enormous mistake, that you had used your admin powers despotically, you just repeatedly ignored the requests that I did to you in your own talk page, where I asked you why had you blocked me (this one, and this one), adding to your unjustified attitude towards me, a high grade of arrogance.
In addition, you are threatening me. Read well what I wrote:
""""Hello? Why did you block me? Since when removing a civility warning from one's talk page is something that deserves a block? You did not even communicate my block to my talk page. I am stil waiting for a justification of your abusive attitude as admin. You not only block for no reason but you also ignore people's requests of justification!"""".
Where do you see a lack of respect here? Where do you see that I """"keep"""" an uncivil attitude? Honestly, you are the one being uncivil: """"if you carry on in the line you are takng, you will be blocked again"""" ... which line I am takng? And why do you threaten me? """"If you do not wish to contribute constructively to the encyclopedia, then we shall make sure that you do not prevent others from contributing"""" ... oh, """"we"""". This sounds to me more like a street gang threatening a poor pedestrian, than an admin giving wise advices to a poor Wikipedian. Go to my user page and see the articles I've created. Isn't that a positive contribution?
Look: I am not being uncivil; it is you, the one being disrespectful with me. And I am not ignoring your requests of being civil; I am fulfilling them. And it is rather you, who are not only ignoring my requests of justification for the actions you carried out against me, but also threatening me with new repressive measures.  """
0	"See also section
I am trying to clean that up per WP:GTL. If those other items can be worked into the article great. Thanks,"
0	As of today (January 25, 2009), the Training sentence begins in the middle of a sentence. I don't have the knowledge to do anything about it.
1	bollocks to this you ignorant cunt.
1	"Hey F**K T*RD, STOP deleting my page bi*ch. You must really be an OLD FAT A$S C*NT with no F*ckin life, deleting a perfectly fine article over several times. Get a life fagg0t and stop trolling on Wikipedia, I mean seriously 
is Wikipedia your life??"
1	"Are You Kidding Me?? 
There is no reliable source for Futurepop. Only review crap! Clean your eyes."
1	"EXCUSE ME

Why do u act like u have dick up ass?"
0	"Antaeus Feldspar reverts 
Please explain why are you deleting factual information.  23:33, May 21, 2005 (UTC)"
0	They seem to be reliable enough for this topic anyways - it's not like many major news sources are going to be covering the things that these sites cover. 63.164.47.227
0	support - mostly.  I think there is room for a general article on thermonuclear weapons, separate from both nuclear weapons and this one.  The issues of weapons design issues could be addressed in greater detail here, and issues of history and current status in the separate article.
1	See it wasn't 5 mins until all my suggestions were deleted and ignored by the Admins. Boy, I hate the self-righteous admins of this rag. they really don't care what anyone thinks, they will push their own agenda and ban anyone that disagrees with them. Well I'm changing it back. they can ban me if they want. No wonder Wikipedia is a self praising closed-minded rag that no one takes seriously. It has become the National Enquirer of the Internet.
0	What amuses me is if I'd acted like a gormless newbie who didn't know his WP:NPOV from his WP:ATT people would have patronised me to death and treat me like an idiot (or like a tourist, whichever you prefer). And if I show that I know a bit about how Wikipedia works, clearly I'm hiding from my real identity or something. Because non-editors are clearly retarded idiots to be treat with disdain? Ick.
1	Its Not inapproprite, its constructive editing, if you wait for 1 f**king day, someone will contribute
1	"Butts 

Screw my butthole mr krabs"
0	You're doing good work! Have a great weekend. Best wishes
1	""" Go fuck yourselves and hope you never try to """"edit"""" me in real life."""
0	of the Islamophobia page
0	"""

MORE ON LAWSUITS

I do think that it is time that a few sentences address the lawsuit IN THE ARTICLE PAGE ITSELF as it is relevant and interesting. I am not taking a position on what should be said. I leave that to others who write better.

I'm just adding these references as relevant to this discussion
and possible of use to someone trying to put togeher a few sentences.

""""Ron Livingston Sues Wikipedia Detractor for Saying He’s Gay"""" 

                     LexVacPac3 """
1	<-WHAT A FAGGOT, I'M GLAD HE'S DEAD!!!
1	"JdWolff (the mentally imbalanced loser) wryfully strikes again . . . Some people always just seem to allow their utter incoherence to get the better of them.

As a white Medical doctor , I am totally disgusted by the General Medical Council (GMC) and strongly support the 'Fire and Brimestone' approach of the Abolish the GMC Campaign.

The GMC Press Office directly connives with the Tabloids to blast their own screaming headlines all over the place - so the Abolish the GMC guys have every right to choose the very same style if they so wish.

JdWolff should go take a long cold shower - as his bias STINKS !"
1	BEWARE OF FLYING DICKS, FUDGING NIGGER.
1	"hi 

i want to assfack you"
1	It is my religious view that she will burn in hell for all of eternity and I have a right to make that discussion. Just because you believe it is insensitive means nothing, I have a right to express my opinion like anyone on Wikipedia, even if you disagree with it. Feel free to take it to mediation or something but you have no right to remove what I am saying.
1	fuck god youn shit asshole
1	"Fuck you Jasper you know he's a cunt and if you don't then you're one.

WHAT RIGHT do YOU, motherfucker, have to edit MY talk page?

Seriously, stop editing my talk page. Edit your own fucking talk page Edit my talk page again and, I primise, I will fuck your mother's withered ancient cunt."
0	"""
{| style=""""border-spacing:8px;margin:0px -8px"""" width=""""100%""""
|class=""""MainPageBG"""" style=""""width: 55%; border:1px solid #084080; background-color:#F5FFFA; vertical-align:top;color:#000000;font-size: 85%""""|
  Hello Rangeetsen! Welcome to Wikipedia! Thank you for your contributions. If you decide that you need help, check out Getting Help below, ask me on my talk page, or place {{helpme}} on your talk page and someone will show up shortly to answer your questions. Please remember to sign your name on talk pages by clicking  or using four tildes (~~~~); this will automatically produce your name and the date. Finally, please do your best to always fill in the edit summary field. Below are some useful links to facilitate your involvement. Happy Editing!  Talk  
{| style=""""border-spacing:8px;margin:0px -8px"""" width=""""100%""""
|class=""""MainPageBG"""" style=""""width: 55%; border:1px solid #FFFFFF; background-color:#F5FFFA; vertical-align:top""""|
 Getting Started Wikipedia Tutorial • The five pillars of Wikipedia
 How to: edit a page • upload an image Getting Help Frequently Asked Questions
 Where to ask questions or make comments
 Request administrator attention Policies and Guidelines Neutral point of view • Reliable sources
 Verifiability • Citing sources • No original research
 What Wikipedia is not • Biographies of living persons

 Manual of Style • Three-revert rule • Sock puppetry
 Copyrights • Fair use • Image use policy
 External links • Spam • Vandalism
 Deletion policy • Conflict of interest • Notability
|class=""""MainPageBG"""" style=""""width: 55%; border:1px solid #FFFFFF; background-color:#F5FFFA; vertical-align:top""""|
{| width=""""100%"""" cellpadding=""""2"""" cellspacing=""""5"""" style=""""vertical-align:top; background-color:#F5FFFA""""
! The Community
|-
|style=""""color:#000""""|
 Build consensus • Resolving disputes
 Assume good faith • Civility • Etiquette
 [[Wikipedia:No personal attacks|No"
0	"Hilleri groves
Category:WelcomeBotResearch
Hello, and welcome to Wikipedia. Thanks for writing this article. Unfortunately it doesn't conform to some of Wikipedia's guidelines for new articles.  However, please do not be disheartened by what may happen to your first article, if indeed it is deleted. Please continue to edit Wikipedia and add articles which conform with the inclusion criteria. For help, see Help:Contents. To find out what will probably be deleted, see Wikipedia:Criteria for speedy deletion and Wikipedia:What Wikipedia is not. Thanks, and if you have any questions, please ask them on my user talk page.  To do this, click on my name (just after this sentence) and click discussion at the top and then the (+) button at the top.    (Talk)"
1	, and to suggest that is flabbergastingly arrogant
0	"""

 Concern: bad faith by POV editor on this page.  Vandals > Note: it states 'destruction"""" not creation.  350.org 

Concern: bad faith by POV editor on this page.  Vandals > Note: it states 'destruction"""" not creation.  350.org"""
0	PS. Since when is it your responsibility to just delete the content instead? Genius.
0	Maybe they are similar, but you can't call any type of sparkling wine champagne because that's a denomination of origin. Only in Brazil cachaça is produced. Elsewhere they produce anything else. Besides I have drank both and they don't taste the same, cachaça has a stronger taste.
1	I fantasize about seeing my girlfriend with another man. I want to blindfold her, tie her r to a bed, fuck her for a bit, then have someone take my place. I don't want her to know I'm doing it, and I don't want her to know who she fucked. The girl has cheated on me quite a bit, which hurt, so I know that ultimately, this fantasy is about showing her that she is my property. I will do with her as I please, and give her to whom ever I feel she deserves to be given to.
0	"""::Or the disruption is borderline or the sock is used to advocate or edit in ways the """"named"""" editor is uncomfortable doing. Thatcher131 

"""
0	I also choose to reject blatant vandalism and propaganda on what is supposed to be a reliable source of information.  Don't you think that is something you should be doing?
0	"""""""changes"""" to the article have related to formatting. several have related to spelling/factual inaccuracies. How is this is """"bad taste"""" is anyone's guess."""
1	"TO BE EVEN CLEARER 

U IZ A MASTURBATE"
0	Five minutes later?!? Thanks.  (my talk)
0	Sneering, transphobic sarcasm is not my idea of humour, but each to their own.
0	"""

 Season or Series? 

The first paragraph states this is the seventh Season however channel 4 has never ever called it a season but a series, added to the fact that the article is called Big Brother (UK Series 7) I think it should be changed. What do you all think? Plus a """"season"""" in television terms could be called an americanisum (or should i say americanizum?).  """
1	"Single-issue nut-jobs 

For some reason, this page is attracting nutters  one of whom comes back over and over again trying to impose American spelling not merely on an entry written without it, but also upon *actual quotations from British books that use English spelling*. This is not acceptable, and will not be permitted.

Equally, it is not acceptable for the other nutcase to keep trying to replace the psychoanalysts' carefully chosen word 'unpleasure' (frequently unconscious and often somatic and usually without any moralising or judgemental aspect) with the inadequate everyday and gentrifying literary word 'displeasure'. For the sake of ending this ignorant, vandalistic campaign as soon as possible, let me explain patiently that 'displeasure' is *connotatively different from* and *denotatively narrower than* 'unpleasure'  which is why psychoanalysis chose 'unpleasure' and the text-books continue to use it. 'Displeasure' is a stupid and misleading word to use in this context. Keep your stupid and clueless hands off."
1	Wikipedia doesn't like it when stupidity of moderators is pointed out!  Hahahaha.  Keep on deleting, I will be back to call this mod an idiot again.
1	"kids incorporated 

SHUT THE HELL UP."
0	"Apology 

Hey, I apologize for that little incident. Just ask me before warning me next time. Thanks! =D -"
1	"ddduu 

NeilN lives in Canada (eastern time zone) Callanecc lives in Australia

Mr Potto you are an a s  s hole"
1	"""
The Graceful Slick....
Is non other than an ungraceful dick!86.131.154.230  """
1	"""::::::: Malleus, you dirty devil; how can you speak thusly about dear Marskell, and make me laugh at the same time?   (Talk) 

"""
1	pile of poop, and not particularly constructive poop at that
0	No, it doesn't. It needs to be organized.
1	there is a mistake on the front page, fix it plz. i dont know 'yamla' or what he is trying to say i just want the sentence to be fixed or wikipedia looks stupid ok }}
0	Croke Park is a GAA arena but since it falls into cat. 2, I propose that it be removed once the Ariva stadium is complete
1	"Do you enjoy being a terrorist? 

 Why? You hate America as much as the democrats?"
